Testing 1000 samples...
====================================================================================================
✅ A2020-EM-01-0002: Labels match (837 epochs, FPS=4.958333333333333)

✅ A2020-EM-01-0003: Labels match (838 epochs, FPS=4.995)

✅ A2020-EM-01-0004: Labels match (907 epochs, FPS=4.986111111111111)

✅ A2020-EM-01-0005: Labels match (922 epochs, FPS=4.995)

✅ A2020-EM-01-0006: Labels match (857 epochs, FPS=4.995)

✅ A2020-EM-01-0008: Labels match (946 epochs, FPS=4.986111111111111)

✅ A2020-EM-01-0009: Labels match (960 epochs, FPS=4.995)

✅ A2020-EM-01-0014: Labels match (939 epochs, FPS=4.995)

✅ A2020-EM-01-0016: Labels match (929 epochs, FPS=4.995)

✅ A2020-EM-01-0017: Labels match (777 epochs, FPS=4.995)

✅ A2020-EM-01-0018: Labels match (837 epochs, FPS=4.995)

✅ A2020-EM-01-0019: Labels match (967 epochs, FPS=4.986111111111111)

✅ A2020-EM-01-0020: Labels match (803 epochs, FPS=4.995)

✅ A2020-EM-01-0022: Labels match (913 epochs, FPS=4.995)

✅ A2020-EM-01-0023: Labels match (907 epochs, FPS=4.986111111111111)

✅ A2020-EM-01-0025: Labels match (870 epochs, FPS=4.995)

✅ A2020-EM-01-0026: Labels match (807 epochs, FPS=4.995)

✅ A2020-EM-01-0027: Labels match (923 epochs, FPS=4.995)

✅ A2020-EM-01-0028: Labels match (765 epochs, FPS=4.995)

✅ A2020-EM-01-0029: Labels match (834 epochs, FPS=4.995)

✅ A2020-EM-01-0030: Labels match (740 epochs, FPS=4.958333333333333)

✅ A2020-EM-01-0032: Labels match (737 epochs, FPS=4.995)

✅ A2020-EM-01-0033: Labels match (795 epochs, FPS=4.995)

✅ A2020-EM-01-0034: Labels match (975 epochs, FPS=4.995)

✅ A2020-EM-01-0035: Labels match (838 epochs, FPS=4.986111111111111)

✅ A2020-EM-01-0036: Labels match (916 epochs, FPS=4.995)

✅ A2020-EM-01-0038: Labels match (865 epochs, FPS=4.995)

✅ A2020-EM-01-0039: Labels match (749 epochs, FPS=4.995)

✅ A2020-EM-01-0041: Labels match (892 epochs, FPS=4.995)

✅ A2020-EM-01-0042: Labels match (790 epochs, FPS=4.995)

✅ A2020-EM-01-0044: Labels match (825 epochs, FPS=4.995)

✅ A2020-EM-01-0045: Labels match (834 epochs, FPS=4.995)

✅ A2020-EM-01-0046: Labels match (742 epochs, FPS=5.0)

✅ A2020-EM-01-0047: Labels match (760 epochs, FPS=4.972222222222222)

✅ A2020-EM-01-0049: Labels match (840 epochs, FPS=4.958333333333333)

✅ A2020-EM-01-0050: Labels match (809 epochs, FPS=4.995)

✅ A2020-EM-01-0051: Labels match (839 epochs, FPS=4.944444444444445)

